disasterNumber,totalAmountIhpApproved,totalObligatedAmountPa,totalObligatedAmountHmgp
1706,,6109252.52,831281.0
2222,,31229.0,
2127,,3388.0,
2090,,210625.4,
1961,,9807841.2,1769996.0
2122,,22213.1,
1337,,4697327.57,782081.0
1728,,5571824.46,313396.0
4016,,5743591.77,1518573.0
3177,,2288670.82,
1905,,27888157.43,3401021.0
5504,,,0.0
4098,,17603230.69,3763546.86
4075,,12040508.41,1646935.54
1673,,6654375.1,1213406.0
2169,,304833.9,
2095,,179704.0,
5597,,,0.0
2113,,171329.2,
5448,,,114009.6
1418,,4620806.54,888018.0
4311,,3126349.9,513765.94
1583,,3950493.46,410149.0
4114,,12480065.52,2789576.0
1264,,3033110.28,915473.0
4083,,2757341.45,755105.98
4102,,5926569.26,929.91
2421,,5635120.91,
3263,,95418.65,
5185,,11569873.93,2023621.49
2478,,286116.51,0.0
2519,,4517835.85,0.0
3527,,322190.94,
2253,,579368.3,
2838,,1809604.1,0.0
1725,,719520.31,3954.0
2713,,787557.07,0.0
5181,,7751554.46,0.0
3118,,728068.5,
2244,,451.0,
1253,,12512996.09,2116175.0
2447,,373067.37,
3238,,2130479.17,
2731,,390948.83,0.0
2963,,100774.9,0.0
2698,,472378.63,0.0
5559,,,0.0
2001,,,
2002,,,
2003,,,
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,
2015,,,
2016,,,
2085,,1488663.62,
2309,,3209125.2,
5145,,13654350.61,0.0
5548,,,0.0
2194,,134398.6,
2174,,7865.2,
5588,,,0.0
2143,,10542.0,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,
2023,,,
2024,,,
2025,,,
2026,,,
2027,,,
2028,,,
2029,,,
2030,,,
2031,,,
2032,,,
2033,,,
2034,,,
2035,,,
2036,,,
2037,,,
2038,,,
2039,,,
2040,,,
2041,,,
2391,,292087.28,
2043,,,
2274,,27252.68,
2045,,,
2046,,,
2047,,,
2048,,,
2049,,,
2050,,,
2051,,,
2052,,,
2053,,,
2054,,,
2055,,,
2056,,,
2057,,,
2058,,,
2059,,,
2060,,,
2061,,,
2062,,,
2063,,,
2064,,,
2065,,,
2066,,,
2067,,,
2068,,,
2069,,,
2070,,,
2141,,10298.4,
2072,,,
4703,,,0.0
2430,,0.0,
2574,,152571.46,0.0
2319,,1050617.89,
2077,,,
2078,,,
2079,,,
3105,,24877863.19,
5586,,,0.0
5292,,329786.2,408447.88
2111,,2887129.0,
2270,,109772.6,
2356,,11549.67,
2110,,16959.0,
3193,,2631914.91,
3201,,49945087.29,
2231,,9565.0,
1354,,185489007.3,28495935.0
1547,,12821500.42,630116.0
3190,,2308324.53,
5581,,,0.0
2093,,,
1396,,4853317.12,93818.0
1407,,10952618.23,2133460.0
1386,,7390259.93,1663497.0
1882,,3536705.06,0.0
4051,,71006602.75,4882327.14
2100,,,
2101,,,
5589,,,0.0
2105,,,
2106,,,
3102,,167848.74,
3108,,498136.8,
2088,,138096.0,
2120,,106274.0,
1978,,7041838.42,1186863.0
1997,,13570671.84,1807320.0
4262,,46994294.43,5301884.96
4289,,16783200.6,3738576.45
3192,,9529091.7,
4038,,11018960.86,1441802.0
1363,,3019659.14,431125.0
2228,,84854.0,
1619,,3698478.5,127399.0
1318,,13588960.08,1454376.0
1626,,38376189.28,571436.0
1260,,9863594.0,1875688.0
2133,,19758.2,
5608,,,0.0
3254,,5201233.4,
2234,,393.0,
1252,,2020087.91,286725.0
4287,,5798145.11,275024.93
3553,,6215069.13,
2225,,1184534.16,
3114,,2682126.7,
1943,,22213776.98,974818.0
2229,,18799.0,
4036,,2466820.86,98442.04
3117,,4478262.25,
2551,,5321631.31,0.0
2985,,505445.76,0.0
5505,,,0.0
1572,,834072.23,8602.0
1242,,12713027.57,1514019.0
2776,,952269.39,0.0
3526,,0.0,
3100,,8445699.69,
2201,,99009898.86,
1940,,6363902.22,1141916.0
2706,,564692.63,0.0
5078,,3440106.91,0.0
5093,,30805790.0,393133.31
2671,,6243071.54,0.0
4246,,2486685.09,374875.74
3257,,360856.81,
2332,,199185.63,
2711,,1104733.0,0.0
2176,,,
2178,,,
5037,,30712289.96,0.0
2936,,2474182.45,0.0
5103,,10083188.44,37449.95
2742,,728769.26,0.0
2438,,244734.82,
2855,,4089121.18,0.0
5530,,,0.0
2680,,6432.11,0.0
2172,,9716.0,
2968,,139425.9,0.0
2190,,,
2191,,,
2192,,,
2639,,3338.02,0.0
2218,,10792.0,
2195,,,
2196,,,
2197,,,
2198,,,
2166,,37398.2,
2200,,,
2203,,,
2204,,,
2205,,,
2206,,,
2207,,,
2208,,,
2209,,,
5239,,6245239.57,0.0
2211,,,
2212,,,
2097,,250772.0,
2214,,,
2215,,,
2099,,86755.2,
2747,,65863.96,0.0
5158,,415169.62,112088.0
5194,,3126981.79,3071122.89
5122,,1102989.32,0.0
2082,,265690.51,
2451,,449514.35,
2167,,21858.2,
2246,,321.0,
5531,,,0.0
5044,,1077214.49,0.0
2794,,181364.45,0.0
2754,,65865.8,0.0
5235,,617443.25,0.0
2381,,53686.5,
5207,,37600.59,0.0
5059,,1329554.54,0.0
3256,,51276.45,
2185,,558515.77,
2160,,10498.6,
2236,,,
2180,,8006377.4,
2199,,196740.6,
5242,,79796.27,0.0
2767,,28163.31,0.0
2241,,,
2154,,14725.9,
1775,,9638507.73,93369.0
1714,,2306258.82,27051.0
2249,,,
2250,,,
2202,,121107.7,
2187,,357301.86,
2237,,230928.14,
2188,,28676.64,
1300,,34309695.49,3599288.0
2263,,,
2264,,,
2267,,,
2268,,,
2271,,,
2273,,,
1559,,2348737.81,154535.0
2276,,,
2277,,,
2278,,,
2279,,,
2280,,,
2281,,,
2283,,,
2284,,,
2285,,,
1408,,7698001.21,1252681.0
2289,,,
2290,,,
2291,,,
1586,,9963311.57,91326.0
1584,,2459682.68,435749.0
4135,,4551830.57,568704.0
2311,,,
2312,,,
1598,,1993482.38,0.0
1648,,7012366.06,375402.0
1703,,3337603.76,423213.0
1405,,4796806.64,752279.0
4380,,2996541.03,30845.37
5459,,,0.0
2339,,,
4220,,6320816.79,720273.38
2688,,1228860.77,0.0
1985,,3490382.1,405892.16
4230,,10965009.42,1568836.6
1956,,3990138.12,728851.0
4073,,2914288.63,102842.93
4032,,1995886.96,300596.0
4198,,1609009.61,110714.19
2351,,,
2352,,,
1992,,1756346.8,306106.24
1879,,12773947.54,992229.0
1275,,5322523.58,853245.0
4325,,15098468.62,1766204.25
2364,,,
2365,,,
2366,,,
5430,,,2218997.98
4105,,6153471.49,955286.72
2857,,1890446.08,0.0
5048,,2273317.23,0.0
2371,,,
3530,,2208510.74,
2913,,140212.14,0.0
3574,,80381.85,
5507,,,0.0
5508,,,0.0
5024,,8331302.41,0.0
1806,,1107827.99,3947586.15
2751,,5099.94,0.0
3139,,1064337.65,
