disasterNumber,year,month,quarter,incident_duration_days,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,num_counties,tier_very_high,tier_high,tier_medium,tier_low,total_cost,log_total_cost,duration_x_counties
156,1963,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
157,1963,8,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
158,1963,8,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
159,1963,9,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
160,1963,11,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
161,1963,12,4,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
162,1964,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
163,1964,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
164,1964,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
165,1964,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
166,1964,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
167,1964,3,1,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
168,1964,3,1,0.0,0,0,0,0,1,False,True,False,False,0.0,0.0,0.0
169,1964,4,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
170,1964,5,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
171,1964,6,2,0.0,0,0,0,0,1,False,False,False,True,0.0,0.0,0.0
172,1964,6,2,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
173,1964,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
174,1964,7,3,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
175,1964,9,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
176,1964,9,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
177,1964,9,3,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
178,1964,10,4,0.0,0,0,0,0,1,True,False,False,False,0.0,0.0,0.0
179,1964,10,4,0.0,0,0,0,0,1,False,False,True,False,0.0,0.0,0.0
